ID;Reading_Time;Main_Idea;Key_Points;Relevant_Info;Global_Comprehension;MI_CAL_ERR;KP_CAL_ERR;RI_CAL_ERR;Calibration_Bias;Medium;Word_Reading_Ability;Working_Memory;Reading_Comprehension;Prior_Knowledge;Topic_Interest;Medium_Preference;Medium_Preference_Study;Gender;AGE;NATIONALITY;MYID;medium;CLASS;SCHOOL
MIE7CA*;380,7;1;0;0;1;1,67;7;1;3,22;C;26;0;4;0,5;27,5;3;1;1;13,67;1;1;1;1;C
GAE8CA;351,88;0,5;0;0;0,5;5,33;1;1;2,44;C;35;2;9;0,63;29,5;2;2;1;13,75;1;2;1;1;C
MNT7CA;316,24;2;3;4;9;1,33;1,5;6;2,94;C;53;3;17;0,88;36,5;2;1;2;13,67;1;3;1;1;C
RAN7CA;651,87;1;0;1;2;5,67;6;9;6,89;C;37;3;13;1,88;39,5;2;2;2;13;1;4;1;1;C
MRI7CA;592,83;1,5;0;5;6,5;4;7;2;4,33;C;35;3;9;0,88;38;2;1;2;13,42;1;5;1;1;C
SAA6CA;194,74;0,5;0;1;1,5;5,33;3;4;4,11;C;53;3;17;0,75;19;2;2;1;14,92;1;6;1;1;C
ELF7CA;432,76;0,5;0;4;4,5;8,33;9;6;7,78;C;26;2;9;1,5;26;2;1;2;13,58;1;7;1;1;C
CAI7CA;633,9;1;1;5;7;-0,33;5,5;5;3,39;C;52;2;14;1,38;33,5;3;3;2;13,67;1;8;1;1;C
CRO7CA;311,07;1;1;6;8;3,67;4,5;2;3,39;C;60;2;23;2;32;2;1;2;13,42;1;9;1;1;C
ELC7CA;176,71;0,5;0;0;0,5;5,33;7;1;4,44;C;48;5;19;1,38;36;1;1;1;13,58;1;10;1;1;C
FAA7CA;559,08;1;0;6;7;2,67;10;0;4,22;C;37;3;10;1,88;34;2;1;2;13,5;1;11;1;1;C
DIE7CA;322,56;0,5;0;2;2,5;3,33;5;-1;2,44;C;56;3;12;0,88;25;1;3;1;12,92;1;12;1;1;C
POR7CA;304,59;0,5;0;3;3,5;5,33;7;2;4,78;C;29;3;11;1;32,5;3;1;2;13,5;1;13;1;1;C
VLM7DA;465,71;1;2;4;7;-0,33;-4;4;-0,11;C;39;0;3;0,63;28;2;2;2;13,42;1;14;1;2;O
SSR7DA;342,47;2;0;4;6;-1,67;4;-1;0,44;C;58;2;19;1,75;31,5;2;1;2;13,42;1;15;1;2;O
EAI7DA*;564,21;1;4;7;12;4,67;-2;1;1,22;C;45;3;22;1,75;36;1;1;2;13,17;1;16;1;2;O
RLS7DA;414,75;0,5;0;3;3,5;6,33;10;-2;4,78;C;52;2;13;0,88;26,5;2;2;2;13,58;1;17;1;2;O
CIE7DA;574,96;1;2;3;6;3,67;2;4;3,22;C;51;2;16;0,25;40;2;3;2;13,25;2;18;1;2;O
VLI8DA;523,21;1,5;3;4;8,5;-3;-2,5;-1;-2,17;C;41;2;13;0,88;27,5;1;1;2;12,75;1;19;1;2;O
GAG7DA;492,27;0,5;0;4;4,5;7,33;10;4;7,11;C;35;0;11;1,5;26,5;2;1;2;13;1;20;1;2;O
FID8DA;805,76;0,5;2;4;6,5;5,33;2;4;3,78;C;60;2;9;1,75;28;1;1;2;12,67;1;21;1;2;O
ELE7DA;401,58;2;0;6;8;0,33;8;-3;1,78;C;40;2;13;0,88;28,5;2;3;1;13,33;1;22;1;2;O
DIE7DA;414,97;1,5;2;4;7,5;2;2;4;2,67;C;59;3;19;0,75;30;3;3;1;13,67;1;23;1;2;O
LRX7DA;423,68;1;3;3;7;2,67;0,5;5;2,72;C;55;2;15;0,88;20,5;1;1;1;14;1;24;1;2;O
LOT7DA;498,99;0,5;0;0;0,5;2,33;5;5;4,11;C;51;2;16;0,5;20;3;NA;1;13,08;1;25;1;2;O
POO7DA;860,02;1,5;2;6;9,5;3;4;2;3;C;48;3;12;1;29,5;3;3;2;13;1;26;1;2;O
FER7DA;538,95;2;2;5;9;1,33;3;4;2,78;C;54;3;15;1,75;35,5;2;1;2;13,5;1;27;1;2;O
DAE7DA;571,53;1,5;3;1;5,5;2;-1,5;6;2,17;C;52;3;17;0,88;26,5;3;3;2;13,25;1;28;1;2;O
SEL7DA;584,78;1,5;2;4;7,5;0;3;4;2,33;C;40;3;11;1,25;25;3;3;2;13;1;29;1;2;O
ERI7DA;435,03;2;0;6;8;3,33;9;3;5,11;C;57;5;18;0,63;23,5;2;1;2;13,33;1;30;1;2;O
MRA7DA;521,53;0,5;0;5;5,5;6,33;7;3;5,44;C;57;4;15;1;35,5;1;1;2;13,5;1;31;1;2;O
LIE7DB;537,75;1;1;5;7;6,67;-1,5;3;2,72;C;56;2;15;1,25;33;2;1;2;13,58;4;32;1;3;S
FAC7DB;854,56;2,5;1;5;8,5;-0,33;4,5;4;2,72;C;60;2;17;0,75;29;2;1;1;12,92;1;33;1;3;S
ELC8DB;462,3;1;0;1;2;0,67;3;2;1,89;C;43;3;15;1,63;32;3;3;2;12,83;1;34;1;3;S
MAA8DB;317,99;2;0;3;5;0,33;6;3;3,11;C;50;3;20;2;36;1;1;2;12,92;1;35;1;3;S
MDA7DB;748,52;1,5;3;5;9,5;3;1,5;3;2,5;C;45;3;17;1,5;30;1;1;1;13,25;1;36;1;3;S
CAM7DB;421,13;0,5;0;4;4,5;4,33;8;3;5,11;C;36;2;16;1;33,5;3;1;1;13,08;1;37;1;3;S
RIM7DB*;367,58;0,5;1;0;1,5;7,33;2,5;7;5,61;C;42;2;14;2;22;3;3;1;13,58;1;38;1;3;S
ALE7DB;437,97;1,5;0;2;3,5;3;6;4;4,33;C;54;3;11;1;31,5;2;1;2;13,25;3;39;1;3;S
RAV7DB;223,62;0,5;0;2;2,5;4,33;5;2;3,78;C;47;3;12;0,38;17;2;1;1;13,08;1;40;1;3;S
RRR7DB;414,52;1,5;0;3;4,5;3;7;5;5;C;45;3;19;1,13;27,5;3;1;2;13;1;41;1;3;S
COA7DB;331,36;0,5;0;2;2,5;6,33;9;7;7,44;C;24;3;10;1,75;21,5;2;2;1;13,17;1;42;1;3;S
PAR7DB;297,87;0,5;0;2;2,5;5,33;6;3;4,78;C;51;4;19;0,88;35,5;3;3;2;13,75;1;43;1;3;S
MRM7DB;429,83;0,5;1;1;2,5;5,33;4,5;7;5,61;C;45;2;14;0,88;27,5;3;1;1;13,33;1;44;1;3;S
GAE7DB;552,54;1;0;1;2;4,67;8;7;6,56;C;39;3;20;2;35,5;2;1;2;13,58;1;45;1;3;S
AIC7DB;348,36;0,5;0;2;2,5;0,33;1;0;0,44;C;58;2;19;1,13;20;2;2;1;13,25;1;46;1;3;S
GAC7DB;292,2;0,5;0;5;5,5;3,33;6;1;3,44;C;48;2;21;0,75;21;1;1;2;13,75;1;47;1;3;S
SIC7DB;364,81;0,5;2;6;8,5;5,33;2;2;3,11;C;59;3;18;1,38;32;2;1;1;13,58;1;48;1;3;S
LAK7DB;486,43;1;0;5;6;3,67;10;5;6,22;C;26;3;16;0,75;34,5;2;1;2;13,08;1;49;1;3;S
MIE7DB;438,97;1;1;2;4;2,67;4,5;4;3,72;C;40;2;11;0,5;23;1;1;1;13,25;1;50;1;3;S
AIN6DB*;330,51;0,5;0;3;3,5;1,33;3;-1;1,11;C;48;2;14;0,75;20,5;2;3;2;14,75;3;51;1;3;S
ANR7DB;326,19;0,5;0;4;4,5;3,33;4;0;2,44;C;59;3;13;1,13;34,5;2;1;2;13,33;1;52;1;3;S
DIN7DB;449,41;0,5;0;0;0,5;1,33;5;1;2,44;C;33;2;12;0,63;24,5;1;2;2;13;1;53;1;3;S
FAE7DB;267,97;0,5;0;5;5,5;8,33;6;-1;4,44;C;59;5;17;0,5;20,5;2;1;1;13,08;1;54;1;3;S
AAT7DC;924,66;1;2;4;7;4,67;4;4;4,22;C;59;2;20;1,25;38,5;2;1;2;13,67;1;55;1;4;S
AAR7DC;539,69;0,5;0;0;0,5;5,33;6;1;4,11;C;38;2;17;1,25;30,5;2;2;1;13,33;1;56;1;4;S
AAI8DC;948,19;0,5;1;4;5,5;2,33;2,5;-3;0,61;C;59;3;14;0,88;39;1;1;2;12,83;1;57;1;4;S
FAB7DC;489,27;1;0;5;6;3,67;6;-1;2,89;C;45;2;20;1,75;35;2;1;1;13,75;1;58;1;4;S
DAE7DC;629,06;0,5;0;7;7,5;6,33;8;2;5,44;C;46;3;16;1;32,5;2;1;2;13,17;1;59;1;4;S
SIR7DC;896,94;0,5;2;7;9,5;8,33;4;2;4,78;C;49;3;19;2;32,5;2;1;2;13,17;1;60;1;4;S
DNT7DC;613,54;0,5;1;7;8,5;5,33;4,5;1;3,61;C;54;3;18;1,5;33;2;1;2;13,5;1;61;1;4;S
NAT7DC;918,27;1;0;5;6;-2,33;9;2;2,89;C;42;2;14;0,63;35,5;1;1;1;13,75;1;62;1;4;S
SAU7DC*;882,35;1,5;0;5;6,5;3;7;-3;2,33;C;35;2;14;0,88;33,5;1;1;2;13,33;1;63;1;4;S
NRT7DC;872,54;1,5;0;7;8,5;4;5;3;4;C;60;2;19;0,88;29,5;2;1;2;12,5;1;64;1;4;S
NAY7DC*;834,37;0;0;1;1;9;0;9;6;C;31;2;14;2;36,5;2;2;1;13,75;5;65;1;4;S
NIO7DC;879,84;1,5;2;5;8,5;3;1;5;3;C;60;3;17;1,75;40;2;1;2;13,58;1;66;1;4;S
CNA7DC;794,52;0,5;1;4;5,5;3,33;4,5;4;3,94;C;30;3;18;1;33,5;2;2;1;13,75;1;67;1;4;S
GIU7DC;814,67;0,5;0;1;1,5;6,33;9;8;7,78;C;46;2;12;1;34;2;1;1;13,42;6;68;1;4;S
GAU7DC;459,83;0,5;1;3;4,5;4,33;4,5;5;4,61;C;59;3;17;0,75;31,5;1;1;2;13,08;1;69;1;4;S
