"ID"	"Reading_Time"	"Main_Idea"	"Key_Points"	"Relevant_Info"	"Global_Comprehension"	"MI_CAL_ERR"	"KP_CAL_ERR"	"RI_CAL_ERR"	"Calibration_Bias"	"Medium"	"Word_Reading_Ability"	"Working_Memory"	"Reading_Comprehension"	"Prior_Knowledge"	"Topic_Interest"	"Medium_Preference"	"Medium_Preference_Study"	"Gender"	"AGE"	"NATIONALITY"	"MYID"	"medium"	"CLASS"	"SCHOOL"	"Reading_Comprehension_levels"
"MIE7CA*"	380.7	1	0	0	1	1.67	7	1	3.22	"Paper"	26	0	4	0.5	27.5	3	1	"Boys"	13.67	1	1	1	1	"C"	"Low"
"GAE8CA"	351.88	0.5	0	0	0.5	5.33	1	1	2.44	"Paper"	35	2	9	0.63	29.5	2	2	"Boys"	13.75	1	2	1	1	"C"	"Low"
"MNT7CA"	316.24	2	3	4	9	1.33	1.5	6	2.94	"Paper"	53	3	17	0.88	36.5	2	1	"Girls"	13.67	1	3	1	1	"C"	"Intermediate"
"RAN7CA"	651.87	1	0	1	2	5.67	6	9	6.89	"Paper"	37	3	13	1.88	39.5	2	2	"Girls"	13	1	4	1	1	"C"	"Intermediate"
"MRI7CA"	592.83	1.5	0	5	6.5	4	7	2	4.33	"Paper"	35	3	9	0.88	38	2	1	"Girls"	13.42	1	5	1	1	"C"	"Low"
"SAA6CA"	194.74	0.5	0	1	1.5	5.33	3	4	4.11	"Paper"	53	3	17	0.75	19	2	2	"Boys"	14.92	1	6	1	1	"C"	"Intermediate"
"ELF7CA"	432.76	0.5	0	4	4.5	8.33	9	6	7.78	"Paper"	26	2	9	1.5	26	2	1	"Girls"	13.58	1	7	1	1	"C"	"Low"
"CAI7CA"	633.9	1	1	5	7	-0.33	5.5	5	3.39	"Paper"	52	2	14	1.38	33.5	3	3	"Girls"	13.67	1	8	1	1	"C"	"Intermediate"
"CRO7CA"	311.07	1	1	6	8	3.67	4.5	2	3.39	"Paper"	60	2	23	2	32	2	1	"Girls"	13.42	1	9	1	1	"C"	"High"
"ELC7CA"	176.71	0.5	0	0	0.5	5.33	7	1	4.44	"Paper"	48	5	19	1.38	36	1	1	"Boys"	13.58	1	10	1	1	"C"	"High"
"FAA7CA"	559.08	1	0	6	7	2.67	10	0	4.22	"Paper"	37	3	10	1.88	34	2	1	"Girls"	13.5	1	11	1	1	"C"	"Low"
"DIE7CA"	322.56	0.5	0	2	2.5	3.33	5	-1	2.44	"Paper"	56	3	12	0.88	25	1	3	"Boys"	12.92	1	12	1	1	"C"	"Low"
"POR7CA"	304.59	0.5	0	3	3.5	5.33	7	2	4.78	"Paper"	29	3	11	1	32.5	3	1	"Girls"	13.5	1	13	1	1	"C"	"Low"
"VLM7DA"	465.71	1	2	4	7	-0.33	-4	4	-0.11	"Paper"	39	0	3	0.63	28	2	2	"Girls"	13.42	1	14	1	2	"O"	"Low"
"SSR7DA"	342.47	2	0	4	6	-1.67	4	-1	0.44	"Paper"	58	2	19	1.75	31.5	2	1	"Girls"	13.42	1	15	1	2	"O"	"High"
"EAI7DA*"	564.21	1	4	7	12	4.67	-2	1	1.22	"Paper"	45	3	22	1.75	36	1	1	"Girls"	13.17	1	16	1	2	"O"	"High"
"RLS7DA"	414.75	0.5	0	3	3.5	6.33	10	-2	4.78	"Paper"	52	2	13	0.88	26.5	2	2	"Girls"	13.58	1	17	1	2	"O"	"Intermediate"
"CIE7DA"	574.96	1	2	3	6	3.67	2	4	3.22	"Paper"	51	2	16	0.25	40	2	3	"Girls"	13.25	2	18	1	2	"O"	"Intermediate"
"VLI8DA"	523.21	1.5	3	4	8.5	-3	-2.5	-1	-2.17	"Paper"	41	2	13	0.88	27.5	1	1	"Girls"	12.75	1	19	1	2	"O"	"Intermediate"
"GAG7DA"	492.27	0.5	0	4	4.5	7.33	10	4	7.11	"Paper"	35	0	11	1.5	26.5	2	1	"Girls"	13	1	20	1	2	"O"	"Low"
"FID8DA"	805.76	0.5	2	4	6.5	5.33	2	4	3.78	"Paper"	60	2	9	1.75	28	1	1	"Girls"	12.67	1	21	1	2	"O"	"Low"
"ELE7DA"	401.58	2	0	6	8	0.33	8	-3	1.78	"Paper"	40	2	13	0.88	28.5	2	3	"Boys"	13.33	1	22	1	2	"O"	"Intermediate"
"DIE7DA"	414.97	1.5	2	4	7.5	2	2	4	2.67	"Paper"	59	3	19	0.75	30	3	3	"Boys"	13.67	1	23	1	2	"O"	"High"
"LRX7DA"	423.68	1	3	3	7	2.67	0.5	5	2.72	"Paper"	55	2	15	0.88	20.5	1	1	"Boys"	14	1	24	1	2	"O"	"Intermediate"
"LOT7DA"	498.99	0.5	0	0	0.5	2.33	5	5	4.11	"Paper"	51	2	16	0.5	20	3	NA	"Boys"	13.08	1	25	1	2	"O"	"Intermediate"
"POO7DA"	860.02	1.5	2	6	9.5	3	4	2	3	"Paper"	48	3	12	1	29.5	3	3	"Girls"	13	1	26	1	2	"O"	"Low"
"FER7DA"	538.95	2	2	5	9	1.33	3	4	2.78	"Paper"	54	3	15	1.75	35.5	2	1	"Girls"	13.5	1	27	1	2	"O"	"Intermediate"
"DAE7DA"	571.53	1.5	3	1	5.5	2	-1.5	6	2.17	"Paper"	52	3	17	0.88	26.5	3	3	"Girls"	13.25	1	28	1	2	"O"	"Intermediate"
"SEL7DA"	584.78	1.5	2	4	7.5	0	3	4	2.33	"Paper"	40	3	11	1.25	25	3	3	"Girls"	13	1	29	1	2	"O"	"Low"
"ERI7DA"	435.03	2	0	6	8	3.33	9	3	5.11	"Paper"	57	5	18	0.63	23.5	2	1	"Girls"	13.33	1	30	1	2	"O"	"Intermediate"
"MRA7DA"	521.53	0.5	0	5	5.5	6.33	7	3	5.44	"Paper"	57	4	15	1	35.5	1	1	"Girls"	13.5	1	31	1	2	"O"	"Intermediate"
"LIE7DB"	537.75	1	1	5	7	6.67	-1.5	3	2.72	"Paper"	56	2	15	1.25	33	2	1	"Girls"	13.58	4	32	1	3	"S"	"Intermediate"
"FAC7DB"	854.56	2.5	1	5	8.5	-0.33	4.5	4	2.72	"Paper"	60	2	17	0.75	29	2	1	"Boys"	12.92	1	33	1	3	"S"	"Intermediate"
"ELC8DB"	462.3	1	0	1	2	0.67	3	2	1.89	"Paper"	43	3	15	1.63	32	3	3	"Girls"	12.83	1	34	1	3	"S"	"Intermediate"
